Proteome ID	Organism	Organism ID	Last modified
UP000033581	Gammaproteobacteria bacterium BRH_c0	1629722	2015-07-30
UP000001806	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	107806	2015-07-30
UP000000625	Escherichia coli (strain K12)	83333	2015-07-30
UP000000579	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421	2015-08-02
UP000002438	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	208964	2015-08-02
UP000000584	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	243277	2015-08-02
UP000000815	Yersinia pestis	632	2015-08-02
UP000001014	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	99287	2015-08-02
UP000001010	Xanthomonas campestris pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)	190485	2015-07-30
UP000008186	Shewanella oneidensis (strain MR-1)	211586	2015-07-30
UP000002671	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	227377	2015-08-02
UP000001174	Francisella tularensis subsp. tularensis (strain SCHU S4 / Schu 4)	177416	2015-07-30
UP000006735	Xanthomonas oryzae pv. oryzae (strain KACC10331 / KXO85)	291331	2015-10-19
UP000000537	Vibrio fischeri (strain ATCC 700601 / ES114)	312309	2015-07-30
UP000002716	Shigella dysenteriae serotype 1 (strain Sd197)	300267	2015-07-30
UP000008148	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	290338	2015-10-27
UP000002084	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	41514	2015-08-11
UP000015562	endosymbiont of unidentified scaly snail isolate Monju	1248727	2015-07-27
UP000002677	gamma proteobacterium HdN1	83406	2015-07-27
UP000002427	Baumannia cicadellinicola subsp. Homalodisca coagulata	374463	2015-09-18
UP000002587	Ruthia magnifica subsp. Calyptogena magnifica	413404	2015-09-18
UP000031631	Thiolapillus brandeum	1076588	2015-09-21
UP000034410	Sedimenticola sp. SIP-G1	1543721	2015-09-21
UP000000809	Pasteurella multocida (strain Pm70)	272843	2015-08-02
UP000000812	Xylella fastidiosa (strain 9a5c)	160492	2015-07-30
UP000000289	Salmonella bongori (strain ATCC 43975 / DSM 13772 / NCTC 12419)	218493	2015-10-19
UP000006135	Acidithiobacillus caldus (strain SM-1)	990288	2015-07-30
UP000001362	Acidithiobacillus ferrooxidans (strain ATCC 23270 / DSM 14882 / CIP 104768 / NCIMB 8455) (Ferrobacillus ferrooxidans (strain ATCC 23270))	243159	2015-09-18
UP000001741	Acinetobacter baumannii (strain SDF)	509170	2015-07-30
UP000018418	Acinetobacter brisouii CIP 110357	1341683	2015-07-27
UP000013117	Acinetobacter gerneri DSM 14967 = CIP 107464	1120926	2015-07-27
UP000013121	Acinetobacter guillouiae CIP 63.46	1217655	2015-07-27
UP000017667	Acinetobacter haemolyticus CIP 64.3	1217659	2015-07-27
UP000018419	Acinetobacter radioresistens SK82	596318	2015-07-27
UP000000430	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)	62977	2015-07-30
UP000018341	Acinetobacter sp. CAG:196	1262690	2015-09-20
UP000032870	Acinetobacter sp. HR7	1509403	2015-07-27
UP000001432	Actinobacillus pleuropneumoniae serotype 5b (strain L20)	416269	2015-09-18
UP000001114	Actinobacillus succinogenes (strain ATCC 55618 / 130Z)	339671	2015-09-18
UP000000756	Aeromonas hydrophila subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)	380703	2015-09-18
UP000002569	Aggregatibacter actinomycetemcomitans serotype C (strain D11S-1) (Actinobacillus actinomycetemcomitans)	668336	2015-07-30
UP000008871	Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2)	393595	2015-09-18
UP000006286	Alcanivorax dieselolei (strain DSM 16502 / CGMCC 1.3690 / B-5)	930169	2015-09-18
UP000006764	Alcanivorax pacificus W11-5	391936	2015-09-18
UP000001962	Alkalilimnicola ehrlichii (strain ATCC BAA-1101 / DSM 17681 / MLHE-1)	187272	2015-09-18
UP000001441	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	572477	2015-09-18
UP000001870	Alteromonas macleodii (strain DSM 17117 / Deep ecotype)	314275	2015-07-30
UP000000683	Alteromonas sp. (strain SN2)	715451	2015-09-18
UP000033614	Avibacterium paragallinarum (Haemophilus gallinarum)	728	2015-08-04
UP000002424	Azotobacter vinelandii (strain DJ / ATCC BAA-1303)	322710	2015-09-18
UP000011846	Bibersteinia trehalosi USDA-ARS-USMARC-192	1171377	2015-09-19
UP000033104	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597	2015-07-27
UP000033094	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596	2015-08-04
UP000002192	Blochmannia floridanus	203907	2015-09-18
UP000002759	Brenneria sp. EniD312	598467	2015-09-18
UP000000601	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	224915	2015-09-18
UP000000669	Buchnera aphidicola subsp. Cinara cedri (strain Cc)	372461	2015-09-18
UP000006811	Buchnera aphidicola (Cinara tujafilina)	261317	2015-09-18
UP000015332	Candidatus Carsonella ruddii DC	667013	2015-07-27
UP000032420	Candidatus Evansia muelleri	1495769	2015-09-21
UP000032810	Candidatus Portiera aleyrodidarum	91844	2015-09-21
UP000010097	Candidatus Portiera aleyrodidarum BT-B-HRs	1206109	2015-09-18
UP000005726	Candidatus Regiella insecticola LSR1	663321	2015-09-18
UP000029516	Cedecea neteri	158822	2015-09-21
UP000001036	Cellvibrio japonicus (strain Ueda107) (Pseudomonas fluorescens subsp. cellulosa)	498211	2015-09-22
UP000000239	Chromohalobacter salexigens (strain DSM 3043 / ATCC BAA-138 / NCIMB 13768)	290398	2015-09-18
UP000001889	Citrobacter rodentium (strain ICC168) (Citrobacter freundii biotype 4280)	637910	2015-07-30
UP000000547	Colwellia psychrerythraea (strain 34H / ATCC BAA-681) (Vibrio psychroerythus)	167879	2015-07-30
UP000019205	Congregibacter litoralis KT71	314285	2015-09-22
