accB	accC
adiY	gadA
adiY	gadB,gadC
adiY	gltB,gltD
allR	gcl,hyi,glxR,ybbW,allB,ybbY
allS	allD,allC
araC	araB,araA,araD
araC	araE
araC	araF,araG
araC	araJ
araC	xylA
araC	ydeN
arcA	aceB,aceA
arcA	aceE
arcA	ackA
arcA	acnA
arcA	acnB
arcA	aldA
arcA	betB
arcA	betT
arcA	cadB,cadA
arcA	caiT,caiA,caiB,caiC,caiD,caiE
arcA	citC,citD,citE,citF,citX,citG
arcA	cydA,cydB
arcA	cydD,cydC
arcA	cyoB,cyoC,cyoD,cyoE
arcA	dctA
arcA	dcuC
arcA	fadB,fadA
arcA	fadE
arcA	fadH
arcA	fadI
arcA	focA,pflB
arcA	fumA,fumC
arcA	fumB
arcA	gadA
arcA	gadE
arcA	gatY,gatZ,gatA,gatB,gatD
arcA	glcD,glcE,glcF,glcG,glcA
arcA	glpA,glpB,glpC
arcA	glpD
arcA	gltA
arcA	grcA
arcA	hemA,prfA,prmC
arcA	hyaA,hyaB,hyaC,hyaD,hyaE,hyaF
arcA	hybO,hybA,hybB,hybC,hybD,hybE,hybF
arcA	icd
arcA	iraM
arcA	lldP,lldD
arcA	lpd
arcA	mdh
arcA	moeA,moeB
arcA	ndh
arcA	nuoA,nuoB,nuoE,nuoF,nuoH,nuoI,nuoJ,nuoK,nuoL,nuoM,nuoN
arcA	oppB,oppC,oppD,oppF
arcA	ptsG
arcA	puuA,puuP
arcA	puuD,puuC,puuB
arcA	rhaT
arcA	rpsJ,rplC,rplD,rplW,rplB,rpsS,rplV,rpsC,rplP,rpmC,rpsQ
arcA	rutA,rutB,rutC,rutE,rutF,rutG
arcA	sdhC,sdhD,sdhA,sdhB,sucA,sucD
arcA	sodA
arcA	ssb
arcA	tpx
arcA	treB,treC
arcA	ubiC,ubiA
arcA	uvrA
arcA	ybdN
arcA	ydeA
argP	argO
argP	dapB
argP	dapD
argP	dnaN,recF
argP	gdhA
argP	lysA
argP	lysC
argP	lysP
argP	nrdA,nrdB,yfaE
argR	argA
argR	argC,argB,argH
argR	argE
argR	argG
argR	artJ
argR	artP,artQ,artM
argR	astC,astA,astD,astB,astE
argR	carA,carB
argR	gltB,gltD
argR	hisJ,hisQ,hisM,hisP
argR	rimP,nusA,infB,rbfA,truB,rpsO,pnp
arsR	arsB
ascG	ascF,ascB
ascG	htpG
asnC	asnA
asnC	mioC,mnmG
atoC	atoD,atoA,atoE,atoB
baeR	acrD
baeR	mdtB,mdtC,baeS
baeR	spy
betI	betB
betI	betT
birA	bioA
birA	bioB,bioC,bioD
bolA	ampC
bolA	dacC
cadC	cadB,cadA
cbl	ssuE,ssuA,ssuD,ssuB
cbl	tauA,tauB,tauC
cdaR	garD
cdaR	garP,garL,garK
cdaR	gudP,gudX,gudD
chbR	chbB,chbC,chbA,chbF
cpxR	acrD
cpxR	aroG
cpxR	bacA
cpxR	bamE
cpxR	cpxP
cpxR	cpxA
cpxR	csgB
cpxR	csgE,csgF,csgG
cpxR	degP
cpxR	dsbC
cpxR	ftnB
cpxR	ldtC
cpxR	marB
cpxR	mdtB,mdtC,baeS
cpxR	motA,motB,cheA,cheW
cpxR	ompF
cpxR	ppiA
cpxR	ppiD
cpxR	psd,mscM
cpxR	rpoE,rseA,rseB,rseC
cpxR	rpoH
cpxR	sbmA,yaiW
cpxR	skp,lpxD,fabZ,lpxA
cpxR	slt
cpxR	spy
cpxR	tomB,hha
cpxR	ung
cpxR	yccA
cpxR	yebE
cpxR	yidQ
cpxR	yqaE
cpxR	yqjA,mzrA
cra	aceB,aceA
cra	acnA
cra	acnB
cra	aroP
cra	betB
cra	betT
cra	csgE,csgF,csgG
cra	cydA,cydB
cra	cyoB,cyoC,cyoD,cyoE
cra	edd,eda
cra	eno
cra	epd,pgk,fbaA
cra	fbaB
cra	fruB,fruK,fruA
cra	gapA,yeaD
cra	glk
cra	gpmM,yibQ
cra	hypF
cra	icd
cra	manX,manY,manZ
cra	marB
